iter	Passed	Remaining
0	504	49947
1	731	35835
2	938	30348
3	1100	26413
4	1279	24306
5	1431	22423
6	1597	21227
7	1755	20188
8	1901	19222
9	2064	18582
10	2279	18443
11	2435	17856
12	2626	17574
13	2884	17721
14	3078	17446
15	3305	17356
16	3519	17182
17	3725	16971
18	3918	16704
19	4073	16294
20	4224	15891
21	4371	15500
22	4521	15135
23	4672	14796
24	4819	14457
25	4970	14148
26	5121	13847
27	5275	13565
28	5436	13308
29	5598	13062
30	5766	12834
31	5922	12584
32	6077	12340
33	6244	12122
34	6398	11883
35	6565	11672
36	6746	11487
37	6893	11247
38	7043	11017
39	7199	10799
40	7352	10580
41	7517	10381
42	7698	10204
43	7867	10013
44	8021	9804
45	8176	9598
46	8329	9392
47	8491	9199
48	8647	8999
49	8801	8801
50	8958	8607
51	9118	8417
52	9276	8226
53	9433	8035
54	9594	7849
55	9756	7666
56	9921	7484
57	10086	7304
58	10243	7118
59	10390	6927
60	10559	6750
61	10712	6565
62	10876	6387
63	11049	6215
64	11204	6033
65	11374	5859
66	11566	5696
67	11780	5543
68	11942	5365
69	12097	5184
70	12255	5005
71	12410	4826
72	12664	4684
73	12829	4507
74	13059	4353
75	13268	4189
76	13495	4031
77	13675	3857
78	13841	3679
79	13992	3498
80	14160	3321
81	14311	3141
82	14511	2972
83	14720	2803
84	14916	2632
85	15127	2462
86	15341	2292
87	15494	2112
88	15648	1934
89	15800	1755
90	15957	1578
91	16169	1406
92	16315	1228
93	16467	1051
94	16618	874
95	16781	699
96	16937	523
97	17086	348
98	17304	174
99	17448	0
