iter	MultiClass
0	1.342260602
1	1.300256245
2	1.264907164
3	1.233963209
4	1.205555229
5	1.179972898
6	1.15940421
7	1.135957154
8	1.115753503
9	1.09812524
10	1.082849297
11	1.068504989
12	1.052353258
13	1.034784818
14	1.021144981
15	1.007349729
16	0.9953595853
17	0.9848930804
18	0.9734509423
19	0.9616215146
20	0.9512946967
21	0.9431803466
22	0.9331686023
23	0.923884911
24	0.9149704143
25	0.9084850819
26	0.900061688
27	0.8921334746
28	0.883512002
29	0.877449603
30	0.8712311466
31	0.8649889789
32	0.8593336389
33	0.8522547554
34	0.8451469847
35	0.8396083039
36	0.8326986893
37	0.8271978903
38	0.8216386198
39	0.8177368188
40	0.8133352866
41	0.8079730517
42	0.8031933178
43	0.7986343036
44	0.794159367
45	0.7894423354
46	0.7852136038
47	0.78010682
48	0.77525028
49	0.7719211346
50	0.7673864668
51	0.7634704423
52	0.7587746104
53	0.7539259732
54	0.7504377129
55	0.7466599868
56	0.742111731
57	0.7376618152
58	0.7337721855
59	0.7296177487
60	0.7260105609
61	0.7230209532
62	0.7191289674
63	0.7161679404
64	0.7122660481
65	0.7091136097
66	0.7066478097
67	0.7029340822
68	0.6998773912
69	0.6963194019
70	0.6939331755
71	0.690293307
72	0.6864468779
73	0.6827280118
74	0.6794879518
75	0.6771079732
76	0.6747145
77	0.6716702998
78	0.6685088562
79	0.6650530123
80	0.6630496212
81	0.6601261565
82	0.6575699487
83	0.65519252
84	0.6527663774
85	0.6499574854
86	0.6471177521
87	0.6448729535
88	0.6422981886
89	0.6396914233
90	0.6362780994
91	0.6340898589
92	0.6319459767
93	0.62948652
94	0.6261941429
95	0.6238162766
96	0.6213826278
97	0.6191511639
98	0.6160848408
99	0.6134663568
